time x y z pitch mu rL Rc gyrophase
21.9911 1.28219 20.5336 20.0607 0.40723 1.0104e-31 0.396068 inf 5.9231
22.1168 1.2489 20.6052 20.2199 0.407229 1.01039e-31 0.396065 inf 5.7455
22.2425 1.20518 20.6817 20.3742 0.407229 1.0104e-31 0.396068 inf 5.56791
22.3681 1.15242 20.7642 20.5225 0.407229 1.01039e-31 0.396065 inf 5.3903
22.4938 1.09228 20.8538 20.6636 0.407229 1.0104e-31 0.396067 inf 5.21271
22.6195 1.02665 20.9513 20.7969 0.407229 1.01039e-31 0.396066 inf 5.0351
22.7451 0.957593 21.0574 20.9216 0.407229 1.0104e-31 0.396067 inf 4.85751
22.8708 0.88728 21.1722 21.0376 0.407229 1.0104e-31 0.396066 inf 4.67991
22.9965 0.817925 21.2958 21.1448 0.407228 1.0104e-31 0.396067 inf 4.50231
23.1221 0.75171 21.4279 21.2435 0.407229 1.0104e-31 0.396066 inf 4.32471
23.2478 0.690718 21.568 21.3341 0.407229 1.01039e-31 0.396065 inf 4.14712
23.3734 0.636866 21.7154 21.4175 0.407228 1.01039e-31 0.396065 inf 3.96952
23.4991 0.591851 21.8689 21.4947 0.40723 1.01041e-31 0.396068 inf 3.79192
23.6248 0.557087 22.0276 21.5669 0.407229 1.01039e-31 0.396066 inf 3.61432
23.7504 0.533668 22.1898 21.6354 0.407228 1.01038e-31 0.396064 inf 3.43672
23.8761 0.522331 22.3543 21.7017 0.40723 1.01041e-31 0.396068 inf 3.25912
24.0018 0.523433 22.5194 21.7674 0.407228 1.01039e-31 0.396064 inf 3.08152
24.1274 0.536939 22.6836 21.834 0.407228 1.01038e-31 0.396064 inf 2.90392
24.2531 0.562423 22.8453 21.903 0.407229 1.0104e-31 0.396068 inf 2.72633
24.3788 0.599085 23.0031 21.976 0.407229 1.0104e-31 0.396067 inf 2.54873
24.5044 0.645771 23.1557 22.0542 0.407228 1.01039e-31 0.396065 inf 2.37113
24.6301 0.701013 23.3018 22.1388 0.407229 1.01039e-31 0.396066 inf 2.19353
