it time x y z u v w Bx By Bz
388 24.3788 0.599085 23.0031 21.976 0.312962 1.2467 0.589747 0 1 1
390 24.5044 0.645771 23.1557 22.0542 0.390107 1.20243 0.634009 0 1 1
392 24.6301 0.701013 23.3018 22.1388 0.454979 1.14923 0.687212 0 1 1
394 24.7558 0.763072 23.4406 22.2308 0.505539 1.08876 0.747683 0 1 1
396 24.8814 0.829996 23.5713 22.3309 0.540196 1.02293 0.813518 0 1 1
398 25.0071 0.89968 23.6933 22.4396 0.557858 0.953796 0.882648 0 1 1
400 25.1327 0.969932 23.8065 22.5572 0.557972 0.883548 0.952896 0 1 1
402 25.2584 1.03854 23.911 22.6835 0.540532 0.81439 1.02205 0 1 1
404 25.3841 1.10335 24.0071 22.8181 0.506088 0.748499 1.08794 0 1 1
406 25.5097 1.16232 24.0954 22.9606 0.455724 0.687947 1.1485 0 1 1
408 25.6354 1.2136 24.1768 23.11 0.391023 0.634639 1.2018 0 1 1
410 25.7611 1.25556 24.2523 23.2653 0.314021 0.590252 1.24619 0 1 1
412 25.8867 1.2869 24.3232 23.4252 0.22714 0.556183 1.28026 0 1 1
414 26.0124 1.30663 24.3908 23.5883 0.133114 0.533503 1.30294 0 1 1
416 26.1381 1.31412 24.4568 23.7531 0.0349008 0.522925 1.31352 0 1 1
418 26.2637 1.30914 24.5226 23.9181 -0.0644106 0.524783 1.31166 0 1 1
420 26.3894 1.29185 24.5898 24.0817 -0.161696 0.539018 1.29743 0 1 1
422 26.515 1.26279 24.6599 24.2424 -0.253894 0.565182 1.27126 0 1 1
424 26.6407 1.22288 24.7343 24.3987 -0.338106 0.602452 1.23399 0 1 1
426 26.7664 1.17336 24.8144 24.5494 -0.411681 0.649655 1.18679 0 1 1
428 26.892 1.1158 24.9012 24.6933 -0.472305 0.705308 1.13114 0 1 1
430 27.0177 1.05202 24.9957 24.8297 -0.518072 0.767658 1.06879 0 1 1
432 27.1434 0.984004 25.0984 24.9577 -0.54754 0.834745 1.0017 0 1 1
434 27.269 0.913907 25.2099 25.077 -0.559784 0.904458 0.931986 0 1 1
436 27.3947 0.843929 25.3302 25.1875 -0.554418 0.974604 0.86184 0 1 1
438 27.5204 0.776274 25.4591 25.2893 -0.531611 1.04298 0.793468 0 1 1
