it time x y z u v w Bx By Bz
274 8.22e-09 5.59764e-08 0.100008 7.64617e-07 -7340.26 1653.3 -6586.9 0 1 0.0996761
276 8.28e-09 2.60007e-07 0.100008 8.22899e-07 5726.38 1794.09 -7999.37 0 1 0.0996761
278 8.34e-09 2.33846e-07 0.100008 1.03685e-06 8802.31 526.654 4716.14 0 1 0.0996762
280 8.4e-09 2.31353e-08 0.100008 1.04349e-06 -3478.98 62.2638 9375.12 0 1 0.0996762
282 8.46e-09 -4.50149e-09 0.100008 8.41535e-07 -9690.56 1211.13 -2150.86 0 1 0.0996763
284 8.52e-09 1.99153e-07 0.100008 7.93627e-07 1004.79 1968.85 -9752.64 0 1 0.0996764
286 8.58e-09 2.78786e-07 0.100008 9.93651e-07 9947.1 1013.44 -167.544 0 1 0.0996764
288 8.64e-09 9.54641e-08 0.100009 1.10293e-06 1534.89 11.7866 9881.5 0 1 0.0996764
290 8.7e-09 -3.09752e-08 0.100009 9.41101e-07 -9555.22 711.453 2862.11 0 1 0.0996765
292 8.76e-09 1.20065e-07 0.100009 8.00805e-07 -3974.52 1891.75 -8979.11 0 1 0.0996766
294 8.82e-09 2.85067e-07 0.100009 9.37109e-07 8540.44 1493.43 -4983.02 0 1 0.0996766
296 8.88e-09 1.76156e-07 0.100009 1.1225e-06 6155.06 211.437 7878.48 0 1 0.0996767
298 8.94e-09 -1.6654e-08 0.100009 1.04383e-06 -6968.94 282.436 7166.18 0 1 0.0996767
300 9e-09 4.30294e-08 0.100009 8.4865e-07 -7934.37 1582.56 -5877.19 0 1 0.0996768
302 9.06e-09 2.51078e-07 0.100009 8.87785e-07 4943.14 1843.5 -8495.11 0 1 0.0996769
304 9.12e-09 2.44513e-07 0.100009 1.10326e-06 9196.44 610.005 3879.86 0 1 0.0996769
306 9.18e-09 3.47886e-08 0.100009 1.12944e-06 -2595.11 34.1219 9657.34 0 1 0.099677
308 9.24e-09 -1.21933e-08 0.100009 9.30944e-07 -9859.03 1120.59 -1242.52 0 1 0.0996771
310 9.3e-09 1.85536e-07 0.100009 8.64385e-07 77.9145 1973.87 -9802.95 0 1 0.0996771
312 9.36e-09 2.83001e-07 0.100009 1.05618e-06 9878.92 1105.26 -1088.73 0 1 0.0996772
314 9.42e-09 1.10157e-07 0.100009 1.18201e-06 2444.36 30.2047 9696.61 0 1 0.0996772
316 9.48e-09 -3.14388e-08 0.100009 1.03263e-06 -9254.83 624.331 3736.09 0 1 0.0996773
318 9.54e-09 1.05253e-07 0.100009 8.78969e-07 -4807.3 1851.08 -8571.08 0 1 0.0996774
320 9.6e-09 2.81749e-07 0.100009 9.99406e-07 8027.43 1570.16 -5752.82 0 1 0.0996774
322 9.66e-09 1.9012e-07 0.10001 1.19412e-06 6856.86 271.69 7273.9 0 1 0.0996774
324 9.72e-09 -9.77047e-09 0.10001 1.13369e-06 -6276.74 221.081 7781.62 0 1 0.0996775
326 9.78e-09 3.08223e-08 0.10001 9.33851e-07 -8459.43 1506.63 -5115.47 0 1 0.0996776
328 9.84e-09 2.41077e-07 0.10001 9.5355e-07 4116.88 1885.47 -8916.07 0 1 0.0996776
330 9.9e-09 2.54167e-07 0.10001 1.16872e-06 9510.55 696.638 3010.66 0 1 0.0996777
332 9.96e-09 4.72537e-08 0.10001 1.21426e-06 -1688.65 14.2709 9856.38 0 1 0.0996777
334 1.002e-08 -1.86647e-08 0.10001 1.02101e-06 -9941.7 1028.88 -322.5 0 1 0.0996778
336 1.008e-08 1.71418e-07 0.10001 9.36433e-07 -849.655 1970.29 -9767.09 0 1 0.0996779
338 1.014e-08 2.85868e-07 0.10001 1.11838e-06 9724.77 1196.05 -1999.6 0 1 0.0996779
340 1.02e-08 1.25007e-07 0.10001 1.25971e-06 3332.58 56.9492 9428.19 0 1 0.099678
342 1.026e-08 -3.05143e-08 0.10001 1.12415e-06 -8873.89 540.362 4578.43 0 1 0.099678
344 1.032e-08 9.06394e-08 0.10001 9.585e-07 -5598.26 1802.89 -8087.59 0 1 0.0996781
346 1.038e-08 2.77094e-07 0.10001 1.06207e-06 7444.55 1641.82 -6471.72 0 1 0.0996782
348 1.044e-08 2.03545e-07 0.10001 1.26446e-06 7499 338.17 6606.87 0 1 0.0996782
350 1.05e-08 -1.68728e-09 0.10001 1.22286e-06 -5529.91 166.389 8330.21 0 1 0.0996783
352 1.056e-08 1.94612e-08 0.10001 1.02015e-06 -8910.89 1426.18 -4308.37 0 1 0.0996783
354 1.062e-08 2.30093e-07 0.100011 1.02029e-06 3254.78 1919.61 -9258.59 0 1 0.0996784
356 1.068e-08 2.62723e-07 0.100011 1.23334e-06 9741.9 785.8 2116.1 0 1 0.0996784
358 1.074e-08 6.04223e-08 0.100011 1.29789e-06 -767.486 2.88406 9970.5 0 1 0.0996785
360 1.08e-08 -2.38591e-08 0.100011 1.11162e-06 -9937.86 936.802 601.196 0 1 0.0996786
362 1.086e-08 1.56923e-07 0.100011 1.00981e-06 -1769.84 1958.17 -9645.37 0 1 0.0996786
364 1.092e-08 2.87362e-07 0.100011 1.18038e-06 9485.98 1285.02 -2892.22 0 1 0.0996787
366 1.098e-08 1.39883e-07 0.100011 1.33604e-06 4191.8 91.7879 9078.57 0 1 0.0996787
368 1.104e-08 -2.82098e-08 0.100011 1.21551e-06 -8415.73 460.277 5381.79 0 1 0.0996788
370 1.11e-08 7.63515e-08 0.100011 1.03938e-06 -6340.5 1747.59 -7532.86 0 1 0.0996789
372 1.116e-08 2.71141e-07 0.100011 1.12523e-06 6796.87 1707.78 -7133.44 0 1 0.0996789
374 1.122e-08 2.16313e-07 0.100011 1.33359e-06 8075.88 410.297 5883.18 0 1 0.099679
376 1.128e-08 7.52525e-09 0.100011 1.31122e-06 -4734.94 118.836 8807.17 0 1 0.099679
378 1.134e-08 9.04517e-09 0.100011 1.10746e-06 -9284.8 1341.91 -3462.9 0 1 0.0996791
380 1.14e-08 2.18221e-07 0.100011 1.08809e-06 2364.35 1945.64 -9519.68 0 1 0.0996792
382 1.146e-08 2.70108e-07 0.100011 1.29721e-06 9888.47 876.714 1203.97 0 1 0.0996792
384 1.152e-08 7.41798e-08 0.100011 1.38027e-06 160.374 0.0608731 9998.71 0 1 0.0996793
386 1.158e-08 -2.77315e-08 0.100011 1.20265e-06 -9847.52 845.16 1520.53 0 1 0.0996793
388 1.164e-08 1.42177e-07 0.100012 1.08455e-06 -2674.64 1937.58 -9438.86 0 1 0.0996794
390 1.17e-08 2.87469e-07 0.100012 1.24231e-06 9164.63 1371.4 -3758.82 0 1 0.0996794
392 1.176e-08 1.54657e-07 0.100012 1.41099e-06 5014.56 134.418 8650.79 0 1 0.0996795
394 1.182e-08 -2.45451e-08 0.100012 1.30659e-06 -7884.32 384.773 6139.18 0 1 0.0996796
396 1.188e-08 6.25135e-08 0.100012 1.12156e-06 -7027.58 1685.68 -6911.7 0 1 0.0996796
398 1.194e-08 2.63943e-07 0.100012 1.189e-06 6090.04 1767.47 -7732.24 0 1 0.0996797
400 1.2e-08 2.28314e-07 0.100012 1.40156e-06 8582.49 487.445 5109.14 0 1 0.0996797
402 1.206e-08 1.7787e-08 0.100012 1.39868e-06 -3898.76 78.8375 9208.34 0 1 0.0996798
404 1.212e-08 -3.35151e-10 0.100012 1.19569e-06 -9577.92 1254.54 -2586.43 0 1 0.0996799
406 1.218e-08 2.05565e-07 0.100012 1.15704e-06 1453.32 1963.33 -9697.07 0 1 0.0996799
408 1.224e-08 2.76257e-07 0.100012 1.36046e-06 9948.98 968.591 282.212 0 1 0.09968
410 1.23e-08 8.84065e-08 0.100012 1.46135e-06 1086.85 5.82637 9940.76 0 1 0.09968
